PID,SalePrice
907135180,127859.56536055762
528181040,220266.60995222657
528175010,219638.24904706853
531379030,185681.75476436198
923275090,129634.69535344251
528181070,227996.32452786766
908103280,145978.9137859229
902201110,126211.77292949344
905103070,138957.50264129305
527162180,177432.3784505304
905450020,144670.5657997233
535301150,156135.75828249342
535451170,82337.14757244308
909250060,202486.7941495006
527254020,329227.8361091307
911128180,77569.90820686436
534475170,175522.5532551605
535402180,121256.26638776647
528235180,182240.2591557619
907200130,128074.37448592708
906476030,190689.29941529912
923203090,146559.9082620104
903454020,78682.60891136802
534277060,114761.82726913631
535450220,135123.63699526677
527252090,295004.01066887163
535300040,131908.15596201541
533241010,226762.89038116898
903201090,107320.73070839325
921128030,335908.36530068936
535180020,152023.63907406235
527106050,166264.88226963344
903233050,128175.89518414937
527105010,161965.41170099392
907196050,212546.69234894414
535375010,86606.52343149846
909455040,179937.36160173238
911370410,253041.08999173954
906223080,202138.98313256842
902204080,90020.23090455348
916225130,281507.3852688938
534400060,159800.53239287392
528178090,358578.298843057
528235190,195703.51276857455
906477110,160006.29408156467
902106090,126776.13086557019
535327160,117593.95711240436
909129100,124275.02599011116
909281110,213604.2622588349
528188120,199040.5053406311
528150120,333912.51766858314
535125060,216046.19282135426
906380120,195835.29897131294
527451020,116575.67412477854
528429100,269589.4123103964
527132090,259531.1330694919
902427045,107434.08708189472
923276260,143851.61418125895
907290140,140652.12200118892
906380100,278021.5248929102
527377110,178389.51005229476
535379110,122930.09804168248
527427230,175035.3831230023
905105010,133636.3730966735
533215080,250901.965387437
903484080,49866.18923539352
528441080,257039.75320327352
528120100,247948.703395155
902301060,94624.58200043999
528231050,180416.80872596827
535353190,144544.74296808403
907201280,143174.02225902895
528315080,292641.61748866417
531375060,161793.0020098829
906200230,167162.1889146919
527451550,107101.15082691629
902103090,100332.76573347273
534401190,147383.70404769757
909425085,286453.37794082775
526352080,180633.8209240172
907126050,157919.24813738724
905352180,221849.50574109663
533212060,146766.20993283315
527356050,127948.71419931129
534479240,140511.2716673364
906226130,127137.28291403373
923228210,82402.77602927134
903227080,128058.48172454897
535179120,118488.4650154105
908201100,89385.99929946345
532479050,132581.71611441334
534402060,132114.2487926029
902109160,108290.68263907637
904302030,177125.1838628976
902300215,123536.77851139945
903228070,104527.33470019522
902406070,123025.23406937801
907410020,195317.81113779012
528365090,317533.8388107451
534450110,70774.63081214397
527146135,346125.9671080902
535325340,140519.21805579987
534452060,113333.4065481506
535325090,135107.802115085
534202130,139652.04677576927
528118020,347635.495289363
527214050,390793.7831205994
907401060,219645.12620103077
905104210,121211.9064597304
905225080,239256.4054269651
535178060,139875.6801530284
914476450,159960.99678785275
533250050,224489.2171538354
535450070,141530.97564502538
528181060,232731.6747763141
535454100,130671.03615083246
534476080,145741.78139085317
909452114,250852.95134615133
903476090,124608.85831369097
904101040,130461.1060515563
534431030,135800.67655780117
910202060,100600.37452303314
916386090,254655.41860451343
527451460,105713.52934393502
528290120,186575.7401446454
531375090,145933.29959805025
527403040,157531.06633678122
535453020,137766.18589250246
911175360,93861.89920672729
528228545,177920.56896661405
534275100,130064.48601450308
528142040,343117.5981354772
527357110,131481.17259802678
528480170,275460.46421318623
905226030,121914.88664385125
905104110,137315.0220468371
528480070,260693.7128460779
528386040,419457.26416037465
535453100,125541.78727508915
907192030,203379.52703895755
